# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
665.5000 M1 618834 4 633.5000 n48 n0 49 N n48->n1->n267->n247->n0
665.6000 M3 968122 6 581.6000 n133 n0 50 N n133->n129->n3->n4->n267->n247->n0
665.7000 M19 580040 7 108.7000 n195 n0 58 N n195->n39->n1->n5->n252->n257->n247->n0
665.8000 M8 913877 4 432.8000 n43 n0 52 N n43->n1->n267->n247->n0
665.9000 M10 863541 4 374.9000 n22 n0 53 N n22->n1->n267->n247->n0
666.0000 M22 854050 7 26.0000 n144 n0 59 N n144->n4->n255->n257->n246->n266->n247->n0
666.1000 M17 790517 5 168.1000 n32 n0 57 N n32->n1->n5->n250->n247->n0
666.2000 M5 874671 5 522.2000 n208 n0 51 N n208->n58->n1->n267->n247->n0
666.3000 M9 587686 4 401.3000 n215 n0 53 N n215->n5->n266->n247->n0
666.4000 M20 773543 6 84.4000 n140 n0 58 N n140->n134->n3->n245->n266->n247->n0
666.5000 M11 562047 4 346.5000 n182 n0 54 N n182->n4->n267->n247->n0
666.6000 M16 875016 4 202.6000 n183 n0 56 N n183->n4->n238->n247->n0
666.7000 M2 977273 4 608.7000 n47 n0 49 N n47->n1->n267->n247->n0
666.8000 M12 545086 5 321.8000 n131 n0 54 N n131->n3->n248->n267->n247->n0
666.9000 M14 720934 5 261.9000 n43 n0 55 N n43->n1->n5->n259->n247->n0
1059.2000 M28 627290 4 241.2000 n111 n0 55 N n111->n3->n4->n245->n0
1059.3000 M7 612010 12 856.3000 n79 n0 45 N n79->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.4000 M30 678625 14 178.4000 n86 n0 57 N n86->n96->n61->n2->n254->n240->n244->n251->n253->n255->n5->n1->n238->n245->n0
1059.5000 M18 640222 12 536.5000 n74 n0 51 N n74->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.6000 M33 729461 5 83.6000 n204 n0 58 N n204->n5->n1->n238->n245->n0
1059.7000 M26 546679 9 302.7000 n205 n0 54 N n205->n190->n5->n261->n249->n243->n256->n3->n245->n0
1059.8000 M21 519301 12 450.8000 n89 n0 52 N n89->n13->n2->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.9000 M6 661032 12 889.9000 n73 n0 45 N n73->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.0000 M15 991397 12 629.0000 n88 n0 49 N n88->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.0000 M32 531670 4 115.0000 n24 n0 58 N n24->n1->n238->n245->n0
1060.1000 M13 693107 12 681.1000 n69 n0 48 N n69->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.2000 M27 707738 4 275.2000 n144 n0 55 N n144->n4->n3->n245->n0
1060.3000 M35 998232 5 25.3000 n45 n0 59 N n45->n1->n238->n266->n245->n0
1060.4000 M23 555510 3 391.4000 n186 n0 53 N n186->n4->n245->n0
1060.5000 M4 523257 12 948.5000 n85 n0 44 N n85->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.6000 M24 559729 11 362.6000 n102 n0 53 N n102->n2->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.7000 M31 948641 13 147.7000 n93 n0 57 N n93->n2->n254->n267->n240->n244->n242->n253->n255->n5->n1->n238->n245->n0
1060.8000 M25 982211 9 330.8000 n101 n0 54 N n101->n2->n251->n253->n255->n5->n1->n238->n245->n0
1166.5000 M39 983915 9 12.5000 n126 n0 59 N n126->n3->n4->n240->n251->n258->n248->n257->n245->n0
1166.6000 M36 612761 9 106.6000 n120 n0 58 N n120->n3->n4->n239->n263->n5->n248->n257->n245->n0
1166.7000 M34 844772 13 159.7000 n72 n0 57 N n72->n61->n2->n259->n246->n256->n254->n255->n240->n244->n248->n257->n245->n0
1166.8000 M38 698725 5 45.8000 n54 n0 59 N n54->n1->n248->n257->n245->n0
1166.9000 M37 737538 6 74.9000 n200 n0 58 N n200->n5->n1->n248->n257->n245->n0
1185.5000 M40 572441 8 1.5000 n197 n0 59 N n197->n5->n1->n253->n258->n244->n248->n245->n0
1217.5000 M41 838158 7 1.5000 n168 n0 59 N n168->n4->n240->n247->n263->n241->n257->n0
1232.8000 M29 639593 13 380.8000 n104 n0 53 N n104->n66->n2->n252->n256->n267->n259->n264->n261->n251->n258->n244->n248->n0
1250.8000 M42 889225 7 1.8000 n146 n0 59 N n146->n4->n240->n239->n263->n241->n244->n0
1314.4000 M44 568074 5 1.4000 n36 n0 59 N n36->n1->n251->n241->n248->n0
1314.5000 M43 596711 13 33.5000 n106 n0 59 N n106->n2->n252->n262->n267->n264->n242->n266->n5->n1->n251->n241->n248->n0
1412.2000 M47 734776 6 1.2000 n210 n0 59 N n210->n5->n1->n238->n239->n250->n0
1493.8000 M45 506581 8 148.8000 n133 n0 57 N n133->n129->n3->n4->n253->n248->n240->n238->n0
1586.2000 M48 884863 14 149.2000 n63 n0 57 N n63->n2->n243->n265->n264->n246->n252->n267->n257->n248->n266->n259->n251->n247->n0
1586.3000 M46 636051 12 208.3000 n61 n0 56 N n61->n2->n255->n249->n252->n267->n257->n248->n266->n259->n251->n247->n0
1593.5000 M53 883685 5 7.5000 n203 n0 59 N n203->n5->n263->n250->n247->n0
1647.7000 M55 928171 7 1.7000 n203 n0 59 N n203->n5->n1->n251->n258->n247->n239->n0
1662.7000 M50 976458 10 164.7000 n83 n0 57 N n83->n2->n243->n254->n5->n1->n251->n258->n238->n260->n0
1662.9000 M49 955987 10 197.9000 n88 n0 56 N n88->n2->n243->n254->n5->n1->n251->n258->n238->n260->n0
1663.1000 M51 797770 11 135.1000 n84 n0 57 N n84->n2->n264->n243->n254->n5->n1->n251->n258->n238->n260->n0
1689.5000 M52 891919 6 129.5000 n34 n0 57 N n34->n1->n251->n258->n242->n253->n0
1709.9000 M56 782957 12 32.9000 n168 n0 59 N n168->n4->n245->n267->n254->n243->n263->n250->n258->n260->n242->n259->n0
1742.0000 M58 837610 10 3.0000 n115 n0 59 N n115->n3->n248->n267->n243->n263->n5->n258->n239->n266->n0
1805.3000 M54 953264 10 188.3000 n93 n0 56 N n93->n2->n264->n249->n255->n244->n246->n262->n261->n253->n0
1805.4000 M59 562758 11 36.4000 n174 n0 59 N n174->n4->n3->n254->n267->n243->n250->n241->n262->n261->n253->n0
1822.2000 M60 999278 11 21.2000 n123 n0 59 N n123->n3->n245->n252->n250->n251->n1->n262->n261->n253->n242->n0
1854.2000 M62 964734 5 2.2000 n22 n0 59 N n22->n1->n246->n262->n242->n0
1882.9000 M63 570569 8 1.9000 n174 n0 59 N n174->n4->n238->n260->n239->n246->n262->n266->n0
1970.1000 M66 828271 9 2.1000 n170 n0 59 N n170->n4->n3->n247->n264->n265->n259->n246->n256->n0
1999.4000 M67 935199 6 2.4000 n58 n0 59 N n58->n1->n255->n243->n246->n256->n0
2023.7000 M68 860233 7 1.7000 n214 n0 59 N n214->n5->n250->n267->n255->n243->n246->n0
2103.5000 M69 549614 11 49.5000 n131 n0 59 N n131->n17->n123->n18->n3->n113->n4->n245->n247->n267->n255->n0
2250.1000 M70 975299 4 162.1000 n43 n0 57 N n43->n1->n264->n238->n0
2619.6000 M71 990133 12 502.6000 n88 n0 51 N n88->n2->n258->n251->n248->n244->n256->n241->n243->n265->n254->n244->n0
2619.7000 M61 874679 14 793.7000 n96 n0 46 N n96->n61->n2->n248->n258->n251->n248->n244->n256->n241->n243->n265->n254->n244->n0
2619.8000 M57 601479 15 912.8000 n102 n0 44 N n102->n9->n2->n248->n258->n251->n248->n244->n256->n241->n243->n265->n254->n264->n244->n0
2619.9000 M65 590287 13 682.9000 n78 n0 48 N n78->n2->n248->n258->n251->n248->n244->n256->n241->n243->n265->n254->n244->n0
2620.1000 M64 946950 13 712.1000 n66 n0 48 N n66->n2->n248->n258->n251->n248->n244->n256->n241->n243->n265->n254->n244->n0
3022.4000 M76 765606 16 760.4000 n106 n0 47 N n106->n2->n242->n240->n261->n262->n260->n264->n260->n242->n260->n261->n244->n261->n247->n251->n0
3695.1000 M78 957377 11 1376.1000 n49 n0 37 N n49->n6->n50->n7->n31->n8->n29->n1->n267->n253->n262->n0
3697.7000 M77 580783 5 1403.7000 n27 n0 36 N n27->n1->n267->n256->n262->n0
3786.3000 M73 567791 10 1613.3000 n157 n0 33 N n157->n4->n3->n252->n247->n257->n247->n252->n262->n267->n0
3786.5000 M74 925916 11 1587.5000 n137 n0 33 N n137->n17->n112->n3->n252->n266->n257->n247->n252->n262->n267->n0
3786.6000 M89 502436 10 1137.6000 n180 n0 41 N n180->n4->n266->n257->n266->n257->n247->n252->n262->n267->n0
3786.7000 M102 846401 10 749.7000 n173 n0 47 N n173->n4->n3->n252->n247->n257->n247->n252->n262->n267->n0
3786.8000 M84 577575 10 1288.8000 n150 n0 38 N n150->n4->n266->n257->n266->n257->n247->n252->n262->n267->n0
3808.6000 M119 786640 10 292.6000 n158 n0 55 N n158->n19->n157->n4->n3->n252->n266->n253->n266->n267->n0
3808.7000 M110 741039 8 546.7000 n154 n0 50 N n154->n4->n3->n252->n266->n253->n266->n267->n0
3812.6000 M91 623996 10 1108.6000 n116 n0 41 N n116->n16->n119->n3->n252->n266->n257->n247->n252->n256->n0
3875.2000 M79 579028 11 1522.2000 n47 n0 34 N n47->n8->n29->n1->n260->n261->n260->n244->n255->n252->n266->n0
3910.7000 M121 601626 11 340.7000 n38 n0 54 N n38->n26->n233->n26->n7->n42->n1->n253->n244->n242->n247->n0
4010.0000 M101 846482 17 1007.0000 n151 n0 43 N n151->n4->n3->n238->n263->n257->n250->n254->n250->n241->n263->n262->n257->n241->n263->n266->n252->n0
4010.2000 M95 895577 15 1187.2000 n35 n0 40 N n35->n206->n46->n8->n42->n1->n245->n254->n245->n243->n242->n249->n263->n266->n252->n0
4086.4000 M123 614169 8 459.4000 n23 n0 52 N n23->n8->n42->n1->n264->n243->n247->n244->n0
4137.5000 M130 536904 8 295.5000 n32 n0 55 N n32->n8->n47->n1->n264->n258->n243->n249->n0
4155.3000 M126 512443 14 431.3000 n93 n0 52 N n93->n10->n97->n2->n248->n260->n240->n253->n246->n242->n251->n264->n258->n243->n0
4204.5000 M139 807091 7 92.5000 n40 n0 58 N n40->n6->n37->n1->n251->n264->n258->n0
4227.0000 M133 591759 8 293.0000 n185 n0 55 N n185->n170->n4->n245->n250->n239->n249->n243->n0
4251.3000 M127 506002 12 497.3000 n150 n0 51 N n150->n4->n261->n262->n261->n256->n247->n266->n246->n265->n264->n258->n0
4251.4000 M137 631418 10 196.4000 n128 n0 56 N n128->n16->n121->n3->n245->n257->n250->n255->n264->n258->n0
4285.9000 M113 982169 14 933.9000 n153 n0 44 N n153->n155->n17->n119->n3->n4->n245->n257->n250->n239->n252->n238->n249->n251->n0
4288.4000 M134 856159 10 320.4000 n131 n0 54 N n131->n16->n111->n3->n4->n245->n257->n250->n239->n264->n0
4288.7000 M122 975987 15 687.7000 n162 n0 48 N n162->n176->n4->n261->n245->n250->n257->n245->n257->n250->n239->n252->n238->n249->n251->n0
4288.8000 M88 507417 16 1669.8000 n141 n0 32 N n141->n16->n175->n4->n261->n245->n250->n257->n245->n257->n250->n239->n252->n238->n249->n251->n0
