# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1806.8000 M52 891919 5 246.8000 n34 n0 55 N n34->n1->n262->n261->n253->n0
1810.8000 M47 734776 8 399.8000 n210 n0 53 N n210->n5->n263->n251->n258->n256->n261->n253->n0
1811.0000 M55 928171 8 165.0000 n203 n0 57 N n203->n5->n263->n251->n258->n256->n261->n253->n0
1811.2000 M37 737538 8 719.2000 n200 n0 48 N n200->n5->n263->n251->n258->n256->n261->n253->n0
1811.4000 M33 729461 8 835.4000 n204 n0 46 N n204->n5->n263->n251->n258->n256->n261->n253->n0
1811.6000 M40 572441 8 627.6000 n197 n0 49 N n197->n5->n263->n251->n258->n256->n261->n253->n0
1811.8000 M26 546679 9 1054.8000 n205 n0 42 N n205->n190->n5->n263->n251->n258->n256->n261->n253->n0
1811.9000 M53 883685 8 225.9000 n203 n0 56 N n203->n5->n263->n251->n258->n256->n261->n253->n0
1812.5000 M14 720934 5 1407.5000 n43 n0 36 N n43->n1->n262->n261->n253->n0
1812.6000 M38 698725 5 691.6000 n54 n0 48 N n54->n1->n262->n261->n253->n0
1813.9000 M8 913877 5 1580.9000 n43 n0 33 N n43->n1->n262->n261->n253->n0
1814.0000 M32 531670 5 869.0000 n24 n0 45 N n24->n1->n262->n261->n253->n0
1814.2000 M10 863541 6 1523.2000 n22 n0 34 N n22->n8->n1->n262->n261->n253->n0
1815.7000 M35 998232 7 780.7000 n45 n0 46 N n45->n6->n1->n262->n256->n261->n253->n0
1815.8000 M44 568074 7 502.8000 n36 n0 51 N n36->n6->n1->n262->n256->n261->n253->n0
1815.9000 M17 790517 8 1317.9000 n32 n0 38 N n32->n8->n6->n1->n262->n256->n261->n253->n0
1816.0000 M1 618834 7 1784.0000 n48 n0 30 N n48->n6->n1->n262->n256->n261->n253->n0
1832.4000 M2 977273 6 1774.4000 n47 n0 30 N n47->n1->n246->n256->n261->n259->n0
1841.0000 M41 838158 10 625.0000 n168 n0 49 N n168->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1841.1000 M45 506581 11 496.1000 n133 n0 51 N n133->n120->n3->n245->n252->n250->n241->n258->n246->n261->n259->n0
1841.3000 M58 837610 12 102.3000 n115 n0 58 N n115->n3->n254->n257->n245->n252->n250->n241->n258->n246->n261->n259->n0
1841.4000 M59 562758 11 72.4000 n174 n0 58 N n174->n4->n254->n245->n252->n250->n241->n258->n246->n261->n259->n0
1841.6000 M42 889225 10 592.6000 n146 n0 50 N n146->n4->n245->n252->n250->n241->n258->n246->n261->n259->n0
1841.9000 M16 875016 10 1377.9000 n183 n0 37 N n183->n4->n267->n243->n251->n247->n239->n262->n253->n242->n0
1842.1000 M36 612761 12 782.1000 n120 n0 46 N n120->n3->n4->n267->n243->n251->n247->n239->n262->n256->n240->n242->n0
1842.5000 M28 627290 12 1024.5000 n111 n0 42 N n111->n3->n4->n267->n243->n251->n247->n239->n262->n261->n240->n259->n0
1847.7000 M60 999278 10 46.7000 n123 n0 59 N n123->n3->n4->n267->n243->n1->n246->n256->n240->n242->n0
1847.9000 M39 983915 10 693.9000 n126 n0 48 N n126->n3->n4->n267->n243->n1->n246->n256->n240->n242->n0
1848.1000 M12 545086 10 1503.1000 n131 n0 34 N n131->n3->n4->n267->n243->n1->n246->n256->n240->n242->n0
1848.2000 M56 782957 9 171.2000 n168 n0 57 N n168->n4->n267->n243->n1->n246->n256->n240->n242->n0
1848.4000 M23 555510 9 1179.4000 n186 n0 40 N n186->n4->n267->n243->n1->n246->n256->n240->n242->n0
1848.5000 M20 773543 12 1266.5000 n140 n0 38 N n140->n134->n18->n3->n4->n267->n243->n1->n246->n256->n240->n242->n0
1848.7000 M3 968122 11 1764.7000 n133 n0 30 N n133->n120->n3->n4->n267->n243->n1->n246->n256->n240->n242->n0
1848.9000 M11 562047 9 1528.9000 n182 n0 34 N n182->n4->n267->n243->n1->n246->n256->n240->n242->n0
1849.0000 M27 707738 9 1064.0000 n144 n0 42 N n144->n4->n267->n243->n1->n246->n256->n240->n242->n0
1849.1000 M22 854050 9 1209.1000 n144 n0 39 N n144->n4->n267->n243->n1->n246->n256->n240->n242->n0
1849.2000 M9 587686 8 1584.2000 n215 n0 33 N n215->n5->n238->n260->n246->n256->n253->n242->n0
