# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
665.5000 M17 790517 9 167.5000 n32 n0 57 N n32->n28->n26->n8->n1->n246->n256->n250->n247->n0
665.6000 M1 618834 6 633.6000 n48 n0 49 N n48->n27->n8->n1->n267->n247->n0
665.8000 M16 875016 7 201.8000 n183 n0 56 N n183->n165->n155->n18->n3->n238->n247->n0
665.9000 M10 863541 9 374.9000 n22 n0 53 N n22->n44->n29->n39->n7->n8->n1->n267->n247->n0
666.0000 M14 720934 8 261.0000 n43 n0 55 N n43->n28->n26->n8->n1->n246->n250->n247->n0
666.1000 M9 587686 16 401.1000 n215 n0 53 N n215->n190->n196->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n266->n247->n0
666.2000 M19 580040 17 109.2000 n195 n0 58 N n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n260->n262->n261->n256->n245->n266->n247->n0
666.3000 M3 968122 10 582.3000 n133 n0 50 N n133->n121->n130->n129->n18->n3->n248->n243->n267->n247->n0
666.4000 M11 562047 11 346.4000 n182 n0 54 N n182->n160->n4->n165->n155->n18->n3->n248->n255->n267->n247->n0
666.5000 M12 545086 7 321.5000 n131 n0 54 N n131->n134->n136->n111->n3->n266->n247->n0
666.6000 M8 913877 7 433.6000 n43 n0 52 N n43->n28->n26->n8->n1->n267->n247->n0
666.7000 M2 977273 11 608.7000 n47 n0 49 N n47->n42->n22->n44->n29->n39->n7->n8->n1->n267->n247->n0
1059.2000 M21 519301 13 450.2000 n89 n0 52 N n89->n67->n10->n62->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1059.3000 M29 639593 16 207.3000 n104 n0 56 N n104->n67->n10->n62->n2->n254->n240->n267->n262->n253->n255->n239->n249->n1->n238->n245->n0
1059.4000 M6 661032 12 889.4000 n73 n0 45 N n73->n10->n62->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1059.5000 M26 546679 21 302.5000 n205 n0 54 N n205->n202->n203->n192->n237->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n252->n261->n249->n246->n245->n0
1059.6000 M27 707738 7 274.6000 n144 n0 55 N n144->n4->n165->n155->n18->n3->n245->n0
1059.7000 M28 627290 6 241.7000 n111 n0 55 N n111->n3->n256->n261->n265->n245->n0
1059.8000 M23 555510 8 390.8000 n186 n0 53 N n186->n4->n165->n155->n18->n3->n256->n245->n0
1059.9000 M7 612010 12 856.9000 n79 n0 45 N n79->n10->n62->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1060.0000 M25 982211 13 330.0000 n101 n0 54 N n101->n11->n73->n10->n62->n2->n253->n255->n239->n249->n1->n238->n245->n0
1060.0000 M15 991397 12 629.0000 n88 n0 49 N n88->n10->n62->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1060.1000 M22 854050 9 420.1000 n144 n0 52 N n144->n4->n165->n155->n18->n3->n255->n257->n245->n0
1060.2000 M4 523257 10 948.2000 n85 n0 44 N n85->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1060.3000 M33 729461 17 84.3000 n204 n0 58 N n204->n201->n190->n196->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n238->n245->n0
1060.4000 M31 948641 20 147.4000 n93 n0 57 N n93->n61->n74->n9->n12->n10->n62->n2->n254->n267->n240->n244->n251->n253->n255->n239->n249->n1->n238->n245->n0
1060.5000 M32 531670 9 115.5000 n24 n0 58 N n24->n45->n29->n39->n7->n8->n1->n238->n245->n0
1060.6000 M13 693107 10 681.6000 n69 n0 48 N n69->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1060.7000 M24 559729 14 362.7000 n102 n0 53 N n102->n9->n12->n10->n62->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1060.8000 M18 640222 14 537.8000 n74 n0 51 N n74->n9->n12->n10->n62->n2->n258->n254->n267->n262->n243->n239->n246->n245->n0
1166.5000 M35 998232 9 131.5000 n45 n0 57 N n45->n29->n39->n7->n8->n1->n248->n257->n245->n0
1166.6000 M39 983915 8 12.6000 n126 n0 59 N n126->n3->n247->n251->n258->n248->n257->n245->n0
1166.7000 M36 612761 10 106.7000 n120 n0 58 N n120->n136->n111->n3->n247->n251->n258->n248->n257->n245->n0
1166.8000 M34 844772 18 159.8000 n72 n0 57 N n72->n61->n74->n9->n12->n10->n62->n2->n259->n246->n256->n254->n255->n240->n244->n248->n257->n245->n0
1166.9000 M38 698725 5 45.9000 n54 n0 59 N n54->n1->n248->n257->n245->n0
1223.3000 M41 838158 14 7.3000 n168 n0 59 N n168->n143->n160->n4->n165->n155->n18->n3->n240->n247->n263->n241->n244->n257->n0
1314.4000 M44 568074 6 1.4000 n36 n0 59 N n36->n50->n1->n251->n241->n248->n0
1314.5000 M43 596711 14 33.5000 n106 n0 59 N n106->n85->n2->n252->n262->n267->n264->n242->n266->n238->n1->n245->n241->n248->n0
1388.8000 M42 889225 14 139.8000 n146 n0 57 N n146->n179->n141->n156->n155->n18->n3->n242->n259->n254->n261->n238->n247->n250->n0
1585.1000 M46 636051 16 207.1000 n61 n0 56 N n61->n74->n9->n12->n10->n62->n2->n243->n249->n252->n267->n257->n242->n253->n250->n261->n0
1620.1000 M52 891919 13 60.1000 n34 n0 58 N n34->n35->n32->n28->n26->n8->n1->n254->n262->n263->n250->n258->n239->n0
1705.3000 M55 928171 19 59.3000 n203 n0 59 N n203->n192->n237->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n251->n258->n247->n239->n253->n0
1705.4000 M40 572441 18 521.4000 n197 n0 51 N n197->n192->n237->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n251->n258->n266->n253->n0
1705.6000 M37 737538 18 613.6000 n200 n0 49 N n200->n190->n196->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n251->n258->n266->n253->n0
1705.8000 M47 734776 19 294.8000 n210 n0 55 N n210->n203->n192->n237->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n251->n258->n266->n253->n0
1706.0000 M53 883685 19 120.0000 n203 n0 58 N n203->n192->n237->n189->n195->n233->n42->n22->n44->n29->n39->n7->n8->n1->n251->n258->n247->n239->n253->n0
1712.3000 M49 955987 10 247.3000 n88 n0 55 N n88->n10->n62->n2->n243->n263->n250->n258->n260->n242->n0
1712.5000 M51 797770 10 184.5000 n84 n0 56 N n84->n69->n2->n264->n243->n263->n250->n258->n260->n242->n0
1712.8000 M50 976458 8 214.8000 n83 n0 56 N n83->n2->n243->n263->n250->n258->n260->n242->n0
1744.7000 M58 837610 13 5.7000 n115 n0 59 N n115->n135->n155->n18->n3->n248->n267->n243->n250->n241->n247->n239->n266->n0
1805.9000 M48 884863 16 368.9000 n63 n0 53 N n63->n13->n11->n73->n10->n62->n2->n264->n265->n249->n255->n244->n246->n262->n261->n253->n0
1806.0000 M56 782957 16 129.0000 n168 n0 57 N n168->n143->n160->n4->n165->n155->n18->n3->n254->n267->n243->n251->n258->n262->n261->n253->n0
1806.2000 M54 953264 17 189.2000 n93 n0 56 N n93->n61->n74->n9->n12->n10->n62->n2->n264->n249->n255->n263->n250->n241->n262->n261->n253->n0
1822.2000 M60 999278 13 21.2000 n123 n0 59 N n123->n14->n134->n3->n245->n252->n250->n251->n1->n262->n261->n253->n242->n0
1824.6000 M59 562758 17 55.6000 n174 n0 59 N n174->n4->n187->n142->n168->n141->n14->n134->n3->n252->n250->n251->n258->n239->n262->n261->n259->n0
1833.5000 M45 506581 17 488.5000 n133 n0 51 N n133->n136->n18->n129->n110->n131->n17->n3->n245->n257->n250->n241->n258->n246->n256->n261->n242->n0
1854.2000 M62 964734 5 2.2000 n22 n0 59 N n22->n1->n246->n240->n242->n0
1871.7000 M5 874671 10 1727.7000 n208 n0 31 N n208->n192->n188->n5->n250->n241->n1->n246->n256->n266->n0
2001.2000 M67 935199 9 4.2000 n58 n0 59 N n58->n24->n7->n33->n1->n255->n243->n246->n256->n0
2103.7000 M69 549614 9 49.7000 n131 n0 59 N n131->n17->n3->n241->n261->n245->n247->n267->n255->n0
2103.8000 M63 570569 13 222.8000 n174 n0 56 N n174->n146->n161->n113->n137->n112->n3->n241->n261->n245->n247->n267->n255->n0
2189.9000 M68 860233 12 167.9000 n214 n0 57 N n214->n190->n229->n192->n188->n5->n266->n263->n264->n238->n247->n265->n0
2216.0000 M74 925916 12 17.0000 n137 n0 59 N n137->n112->n3->n241->n239->n266->n259->n261->n263->n264->n238->n243->n0
2346.2000 M77 580783 6 52.2000 n27 n0 59 N n27->n33->n1->n267->n249->n247->n0
2346.4000 M70 975299 6 258.4000 n43 n0 55 N n43->n22->n1->n267->n249->n247->n0
2357.9000 M79 579028 11 4.9000 n47 n0 59 N n47->n6->n23->n8->n7->n33->n1->n267->n249->n265->n247->n0
2619.6000 M71 990133 16 502.6000 n88 n0 51 N n88->n63->n13->n87->n10->n76->n2->n258->n251->n258->n248->n246->n244->n254->n264->n244->n0
2619.7000 M61 874679 17 793.7000 n96 n0 46 N n96->n63->n13->n87->n10->n76->n2->n248->n258->n251->n258->n248->n246->n244->n254->n264->n244->n0
2619.8000 M65 590287 19 682.8000 n78 n0 48 N n78->n69->n89->n63->n13->n87->n10->n76->n2->n248->n258->n251->n258->n248->n246->n244->n254->n264->n244->n0
2619.9000 M72 566893 18 477.9000 n91 n0 52 N n91->n93->n11->n83->n9->n87->n10->n76->n2->n248->n251->n258->n248->n246->n244->n254->n264->n244->n0
2620.1000 M64 946950 14 712.1000 n66 n0 48 N n66->n85->n62->n2->n248->n258->n251->n258->n248->n246->n244->n254->n264->n244->n0
2620.2000 M57 601479 18 913.2000 n102 n0 44 N n102->n11->n83->n9->n87->n10->n76->n2->n248->n258->n251->n258->n248->n246->n244->n254->n264->n244->n0
3781.7000 M100 746890 21 807.7000 n84 n0 46 N n84->n67->n64->n11->n83->n9->n87->n10->n2->n264->n265->n258->n249->n244->n261->n260->n255->n253->n262->n256->n242->n0
3786.5000 M66 828271 9 1818.5000 n170 n0 29 N n170->n147->n152->n4->n238->n255->n253->n266->n267->n0
3858.4000 M114 826370 9 479.4000 n178 n0 52 N n178->n143->n4->n239->n261->n238->n255->n252->n266->n0
3858.5000 M88 507417 12 1239.5000 n141 n0 39 N n141->n14->n123->n155->n118->n3->n241->n245->n238->n255->n252->n266->n0
3880.8000 M91 623996 12 1176.8000 n116 n0 40 N n116->n131->n17->n14->n126->n3->n241->n245->n238->n255->n247->n266->n0
3905.8000 M112 517153 10 583.8000 n152 n0 50 N n152->n4->n239->n243->n249->n253->n244->n255->n247->n252->n0
3928.7000 M110 741039 13 666.7000 n154 n0 48 N n154->n145->n147->n152->n4->n239->n243->n249->n253->n244->n242->n255->n247->n0
3968.8000 M103 798087 10 904.8000 n46 n0 44 N n46->n28->n23->n8->n7->n55->n1->n238->n244->n255->n0
3969.0000 M113 982169 15 617.0000 n153 n0 49 N n153->n166->n186->n4->n239->n259->n245->n238->n244->n253->n244->n249->n238->n244->n255->n0
3969.2000 M81 987978 12 1558.2000 n172 n0 34 N n172->n20->n4->n239->n243->n249->n253->n244->n249->n238->n244->n255->n0
4020.3000 M117 553518 6 559.3000 n50 n0 50 N n50->n1->n238->n249->n238->n244->n0
4020.5000 M118 990380 13 533.5000 n40 n0 51 N n40->n29->n40->n29->n24->n43->n8->n7->n57->n1->n249->n238->n244->n0
4020.7000 M121 601626 11 450.7000 n38 n0 52 N n38->n26->n43->n8->n7->n57->n1->n238->n249->n238->n244->n0
4108.5000 M123 614169 10 481.5000 n23 n0 51 N n23->n8->n7->n57->n1->n267->n258->n243->n263->n241->n0
4144.7000 M130 536904 9 302.7000 n32 n0 54 N n32->n45->n32->n6->n57->n1->n266->n243->n249->n0
4236.1000 M116 868464 16 801.1000 n175 n0 46 N n175->n131->n138->n131->n110->n167->n110->n3->n245->n257->n250->n239->n252->n238->n249->n243->n0
4259.3000 M73 567791 15 2086.3000 n157 n0 25 N n157->n146->n163->n144->n164->n144->n4->n261->n254->n245->n257->n250->n239->n264->n258->n0
4259.4000 M131 742886 12 386.4000 n114 n0 53 N n114->n113->n15->n139->n110->n3->n245->n257->n250->n239->n264->n258->n0
4259.6000 M134 856159 9 291.6000 n131 n0 55 N n131->n110->n3->n245->n257->n250->n239->n264->n258->n0
4298.0000 M76 765606 21 2036.0000 n106 n0 26 N n106->n62->n85->n66->n85->n61->n82->n2->n248->n265->n260->n265->n240->n265->n240->n262->n267->n261->n244->n246->n265->n0
4298.2000 M85 950749 17 1768.2000 n74 n0 30 N n74->n80->n74->n96->n74->n2->n248->n265->n260->n265->n240->n262->n267->n261->n244->n246->n265->n0
4298.5000 M119 786640 17 782.5000 n158 n0 46 N n158->n19->n158->n146->n163->n144->n4->n261->n254->n262->n267->n1->n267->n261->n244->n246->n265->n0
4298.7000 M89 502436 16 1649.7000 n180 n0 32 N n180->n146->n163->n144->n164->n144->n4->n261->n254->n240->n262->n267->n261->n244->n246->n265->n0
4298.8000 M127 506002 13 544.8000 n150 n0 50 N n150->n145->n144->n4->n261->n254->n240->n262->n267->n261->n244->n246->n265->n0
4299.0000 M75 916248 16 2070.0000 n80 n0 25 N n80->n74->n96->n74->n2->n248->n265->n260->n265->n240->n262->n267->n261->n244->n246->n265->n0
4299.2000 M101 846482 17 1296.2000 n151 n0 38 N n151->n161->n146->n163->n146->n163->n144->n4->n261->n254->n262->n246->n256->n266->n244->n246->n265->n0
4325.4000 M99 899694 16 1384.4000 n178 n0 36 N n178->n143->n4->n239->n243->n239->n243->n264->n239->n261->n254->n245->n257->n250->n257->n239->n0
4517.5000 M84 577575 11 2019.5000 n150 n0 26 N n150->n164->n144->n4->n256->n254->n240->n254->n240->n251->n257->n0
4522.6000 M137 631418 12 467.6000 n128 n0 52 N n128->n130->n143->n4->n240->n254->n245->n254->n240->n254->n240->n254->n0
4643.4000 M140 592720 9 500.4000 n28 n0 51 N n28->n26->n43->n8->n7->n57->n1->n248->n254->n0
4643.5000 M142 725726 6 438.5000 n22 n0 52 N n22->n7->n57->n1->n248->n254->n0
4643.7000 M141 527788 8 469.7000 n26 n0 52 N n26->n43->n8->n7->n57->n1->n248->n254->n0
4643.8000 M139 807091 10 531.8000 n40 n0 51 N n40->n29->n24->n43->n8->n7->n57->n1->n248->n254->n0
4702.3000 M104 863634 12 1608.3000 n178 n0 33 N n178->n143->n4->n266->n3->n255->n259->n265->n266->n245->n247->n248->n0
4805.7000 M154 795784 9 257.7000 n58 n0 55 N n58->n42->n46->n6->n57->n1->n238->n260->n248->n0
4826.2000 M148 625450 13 458.2000 n149 n0 52 N n149->n157->n146->n163->n144->n164->n144->n4->n266->n259->n266->n240->n247->n0
4866.6000 M146 505487 12 552.6000 n128 n0 50 N n128->n130->n134->n3->n265->n249->n255->n254->n262->n240->n266->n245->n0
4890.1000 M160 681657 10 154.1000 n145 n0 57 N n145->n144->n4->n255->n249->n255->n254->n262->n259->n247->n0
5047.6000 M144 663690 18 792.6000 n139 n0 46 N n139->n124->n139->n110->n3->n241->n263->n241->n263->n250->n261->n250->n246->n1->n260->n238->n245->n259->n0
5047.7000 M164 672765 15 197.7000 n180 n0 56 N n180->n151->n145->n144->n163->n144->n4->n261->n250->n246->n1->n260->n238->n245->n259->n0
