# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
665.5000 M17 790517 7 167.5000 n32 n0 57 N n32->n54->n1->n260->n238->n250->n247->n0
665.6000 M1 618834 6 633.6000 n48 n0 49 N n48->n47->n50->n1->n267->n247->n0
665.8000 M16 875016 9 201.8000 n183 n0 56 N n183->n165->n155->n18->n3->n265->n245->n250->n247->n0
665.9000 M10 863541 7 374.9000 n22 n0 53 N n22->n41->n55->n54->n1->n267->n247->n0
666.0000 M14 720934 6 261.0000 n43 n0 55 N n43->n28->n54->n1->n249->n247->n0
666.1000 M9 587686 12 401.1000 n215 n0 53 N n215->n237->n189->n195->n233->n42->n22->n44->n50->n1->n267->n247->n0
666.2000 M19 580040 12 109.2000 n195 n0 58 N n195->n233->n42->n47->n50->n1->n260->n262->n261->n252->n257->n247->n0
666.3000 M3 968122 8 582.3000 n133 n0 50 N n133->n121->n111->n3->n248->n243->n267->n247->n0
666.4000 M11 562047 14 346.4000 n182 n0 54 N n182->n160->n143->n171->n121->n130->n137->n129->n18->n3->n248->n243->n267->n247->n0
666.5000 M12 545086 10 321.5000 n131 n0 54 N n131->n124->n130->n137->n129->n18->n3->n248->n267->n247->n0
666.6000 M8 913877 6 433.6000 n43 n0 52 N n43->n28->n54->n1->n267->n247->n0
666.7000 M2 977273 5 608.7000 n47 n0 49 N n47->n50->n1->n267->n247->n0
1059.2000 M13 693107 12 680.2000 n69 n0 48 N n69->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.3000 M23 555510 8 390.3000 n186 n0 53 N n186->n165->n155->n18->n3->n255->n256->n245->n0
1059.4000 M21 519301 15 450.4000 n89 n0 52 N n89->n78->n90->n66->n83->n2->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.5000 M18 640222 15 536.5000 n74 n0 51 N n74->n9->n103->n83->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.7000 M15 991397 16 628.7000 n88 n0 49 N n88->n10->n73->n11->n85->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.8000 M33 729461 13 83.8000 n204 n0 58 N n204->n216->n191->n196->n189->n195->n233->n42->n44->n50->n1->n238->n245->n0
1059.9000 M32 531670 7 114.9000 n24 n0 58 N n24->n45->n55->n54->n1->n238->n245->n0
1060.0000 M7 612010 14 857.0000 n79 n0 45 N n79->n92->n85->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.0000 M24 559729 12 362.0000 n102 n0 53 N n102->n69->n2->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.1000 M4 523257 12 948.1000 n85 n0 44 N n85->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.2000 M29 639593 17 208.2000 n104 n0 56 N n104->n67->n13->n11->n85->n2->n254->n240->n267->n262->n253->n255->n239->n249->n1->n238->n245->n0
1060.3000 M22 854050 9 420.3000 n144 n0 52 N n144->n167->n110->n129->n18->n3->n255->n257->n245->n0
1060.4000 M25 982211 14 330.4000 n101 n0 54 N n101->n11->n85->n2->n264->n258->n254->n267->n262->n263->n249->n241->n246->n245->n0
1060.5000 M6 661032 14 890.5000 n73 n0 45 N n73->n11->n85->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.6000 M27 707738 8 275.6000 n144 n0 55 N n144->n181->n186->n165->n155->n18->n3->n245->n0
1060.7000 M35 998232 7 25.7000 n45 n0 59 N n45->n55->n54->n1->n238->n266->n245->n0
1060.8000 M31 948641 15 147.8000 n93 n0 57 N n93->n105->n85->n2->n259->n262->n244->n242->n253->n255->n239->n249->n1->n238->n245->n0
1060.9000 M26 546679 18 303.9000 n205 n0 54 N n205->n227->n196->n189->n195->n233->n42->n22->n41->n55->n54->n1->n252->n261->n263->n249->n246->n245->n0
1061.0000 M28 627290 6 243.0000 n111 n0 55 N n111->n3->n256->n239->n265->n245->n0
1166.2000 M34 844772 16 159.2000 n72 n0 57 N n72->n61->n82->n105->n85->n2->n259->n246->n256->n254->n255->n240->n244->n248->n257->n245->n0
1166.3000 M39 983915 8 12.3000 n126 n0 59 N n126->n3->n247->n251->n258->n248->n257->n245->n0
1166.4000 M36 612761 9 106.4000 n120 n0 58 N n120->n126->n3->n247->n251->n258->n248->n257->n245->n0
1166.5000 M38 698725 5 45.5000 n54 n0 59 N n54->n1->n248->n257->n245->n0
1224.1000 M41 838158 14 8.1000 n168 n0 59 N n168->n178->n4->n150->n179->n110->n129->n18->n3->n240->n247->n263->n241->n248->n0
1256.8000 M42 889225 12 7.8000 n146 n0 59 N n146->n179->n110->n129->n18->n3->n254->n261->n251->n258->n241->n244->n0
1314.3000 M43 596711 14 33.3000 n106 n0 59 N n106->n85->n2->n252->n262->n267->n264->n242->n266->n238->n1->n245->n241->n248->n0
1314.8000 M44 568074 6 1.8000 n36 n0 59 N n36->n50->n1->n251->n241->n248->n0
1586.3000 M46 636051 15 208.3000 n61 n0 56 N n61->n93->n105->n85->n2->n255->n249->n252->n267->n257->n248->n266->n259->n251->n247->n0
1586.5000 M48 884863 18 149.5000 n63 n0 57 N n63->n13->n11->n85->n2->n243->n249->n255->n264->n246->n252->n267->n257->n248->n266->n259->n251->n247->n0
1620.1000 M52 891919 10 60.1000 n34 n0 58 N n34->n60->n50->n1->n254->n262->n263->n250->n258->n239->n0
1704.9000 M55 928171 15 58.9000 n203 n0 59 N n203->n232->n196->n189->n195->n233->n42->n57->n55->n54->n1->n251->n258->n266->n253->n0
1705.0000 M47 734776 17 294.0000 n210 n0 55 N n210->n220->n197->n192->n237->n189->n195->n233->n42->n57->n55->n54->n1->n251->n258->n266->n253->n0
1705.2000 M53 883685 15 119.2000 n203 n0 58 N n203->n209->n237->n189->n195->n233->n42->n57->n55->n54->n1->n251->n258->n266->n253->n0
1705.5000 M40 572441 16 521.5000 n197 n0 51 N n197->n192->n237->n189->n195->n233->n42->n57->n55->n54->n1->n251->n258->n247->n239->n259->n0
1705.6000 M37 737538 15 613.6000 n200 n0 49 N n200->n237->n189->n195->n233->n42->n57->n55->n54->n1->n251->n258->n247->n239->n259->n0
1712.7000 M49 955987 13 247.7000 n88 n0 55 N n88->n10->n79->n92->n85->n2->n243->n263->n250->n241->n247->n239->n259->n0
1713.3000 M50 976458 8 215.3000 n83 n0 56 N n83->n2->n243->n263->n250->n258->n260->n242->n0
1713.4000 M56 782957 15 36.4000 n168 n0 59 N n168->n179->n141->n111->n3->n252->n245->n267->n254->n243->n263->n250->n258->n260->n242->n0
1713.5000 M51 797770 11 185.5000 n84 n0 56 N n84->n92->n85->n2->n264->n243->n263->n250->n258->n260->n242->n0
1744.7000 M58 837610 12 5.7000 n115 n0 59 N n115->n135->n126->n3->n248->n267->n243->n250->n241->n247->n239->n266->n0
1805.3000 M59 562758 15 36.3000 n174 n0 59 N n174->n143->n150->n179->n141->n127->n3->n254->n267->n243->n250->n241->n262->n261->n253->n0
1805.5000 M54 953264 12 188.5000 n93 n0 56 N n93->n105->n85->n2->n264->n249->n255->n244->n246->n262->n261->n253->n0
1821.5000 M45 506581 14 476.5000 n133 n0 52 N n133->n136->n119->n17->n3->n245->n252->n250->n251->n1->n262->n256->n240->n259->n0
1832.7000 M5 874671 10 1688.7000 n208 n0 31 N n208->n192->n188->n5->n238->n260->n239->n262->n240->n259->n0
2381.1000 M57 601479 13 674.1000 n102 n0 48 N n102->n90->n87->n62->n2->n248->n244->n261->n256->n267->n246->n249->n264->n0
