# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
665.5000 M1 618834 7 633.5000 n48 n0 49 N n48->n54->n50->n26->n1->n267->n247->n0
665.6000 M3 968122 16 581.6000 n133 n0 50 N n133->n136->n123->n166->n181->n157->n234->n217->n224->n216->n189->n195->n46->n1->n267->n247->n0
665.7000 M19 580040 9 108.7000 n195 n0 58 N n195->n39->n60->n1->n262->n261->n252->n257->n247->n0
665.8000 M8 913877 6 432.8000 n43 n0 52 N n43->n60->n56->n1->n267->n247->n0
665.9000 M10 863541 4 374.9000 n22 n0 53 N n22->n1->n267->n247->n0
666.0000 M22 854050 11 26.0000 n144 n0 59 N n144->n157->n149->n234->n217->n224->n5->n250->n238->n266->n247->n0
666.1000 M17 790517 6 168.1000 n32 n0 57 N n32->n1->n246->n256->n250->n247->n0
666.2000 M5 874671 6 522.2000 n208 n0 51 N n208->n195->n39->n1->n267->n247->n0
666.3000 M9 587686 6 401.3000 n215 n0 53 N n215->n211->n224->n5->n266->n247->n0
666.4000 M20 773543 7 84.4000 n140 n0 58 N n140->n120->n129->n3->n245->n266->n247->n0
666.5000 M11 562047 5 346.5000 n182 n0 54 N n182->n154->n4->n267->n247->n0
666.6000 M16 875016 9 202.6000 n183 n0 56 N n183->n149->n234->n217->n224->n210->n5->n250->n247->n0
666.7000 M2 977273 4 608.7000 n47 n0 49 N n47->n1->n267->n247->n0
666.8000 M12 545086 8 321.8000 n131 n0 54 N n131->n129->n137->n18->n3->n248->n267->n247->n0
666.9000 M14 720934 5 261.9000 n43 n0 55 N n43->n60->n1->n249->n247->n0
673.6000 M23 555510 12 4.6000 n186 n0 59 N n186->n147->n149->n234->n217->n211->n5->n250->n265->n238->n266->n247->n0
1059.2000 M28 627290 6 241.2000 n111 n0 55 N n111->n141->n165->n180->n4->n245->n0
1059.3000 M7 612010 13 856.3000 n79 n0 45 N n79->n107->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.5000 M31 948641 13 146.5000 n93 n0 57 N n93->n2->n259->n262->n244->n242->n253->n255->n239->n249->n1->n238->n245->n0
1059.6000 M30 678625 16 178.6000 n86 n0 57 N n86->n68->n94->n85->n2->n254->n240->n244->n251->n253->n255->n239->n249->n1->n238->n245->n0
1059.7000 M26 546679 7 302.7000 n205 n0 54 N n205->n222->n228->n225->n5->n250->n245->n0
1059.8000 M21 519301 11 450.8000 n89 n0 52 N n89->n2->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1059.9000 M6 661032 14 889.9000 n73 n0 45 N n73->n70->n106->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.0000 M15 991397 12 629.0000 n88 n0 49 N n88->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.0000 M32 531670 4 115.0000 n24 n0 58 N n24->n1->n238->n245->n0
1060.1000 M27 707738 4 275.1000 n144 n0 55 N n144->n178->n4->n245->n0
1060.2000 M13 693107 13 681.2000 n69 n0 48 N n69->n87->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.3000 M33 729461 6 84.3000 n204 n0 58 N n204->n5->n249->n1->n238->n245->n0
1060.4000 M4 523257 12 948.4000 n85 n0 44 N n85->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.5000 M18 640222 12 537.5000 n74 n0 51 N n74->n2->n264->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.6000 M24 559729 12 362.6000 n102 n0 53 N n102->n76->n2->n258->n254->n267->n262->n243->n263->n249->n3->n245->n0
1060.7000 M29 639593 13 208.7000 n104 n0 56 N n104->n87->n2->n254->n244->n260->n253->n255->n239->n249->n1->n238->n245->n0
1060.8000 M25 982211 15 330.8000 n101 n0 54 N n101->n107->n104->n76->n73->n2->n251->n253->n254->n267->n262->n263->n249->n256->n245->n0
1166.4000 M37 737538 5 74.4000 n200 n0 58 N n200->n5->n248->n257->n245->n0
1166.5000 M35 998232 5 131.5000 n45 n0 57 N n45->n1->n248->n257->n245->n0
1166.6000 M38 698725 7 45.6000 n54 n0 59 N n54->n57->n22->n1->n248->n257->n245->n0
1166.7000 M34 844772 13 159.7000 n72 n0 57 N n72->n84->n2->n259->n246->n256->n254->n255->n240->n244->n248->n257->n245->n0
1166.8000 M39 983915 8 12.8000 n126 n0 59 N n126->n3->n240->n251->n258->n248->n257->n245->n0
1166.9000 M36 612761 11 106.9000 n120 n0 58 N n120->n129->n179->n175->n161->n4->n239->n247->n248->n257->n245->n0
1187.1000 M40 572441 8 3.1000 n197 n0 59 N n197->n211->n5->n253->n258->n244->n248->n245->n0
1221.8000 M41 838158 9 5.8000 n168 n0 59 N n168->n161->n181->n4->n240->n247->n263->n241->n248->n0
1255.5000 M42 889225 8 6.5000 n146 n0 59 N n146->n171->n4->n240->n239->n263->n241->n244->n0
